Flight Number,Date,Origin,Destination,Scheduled Departure Time,,Actual Departure Time,,Scheduled Arrival Time,,Actual Arrival Time,,Flight Duration,Delay (in minutes),Cancellation,Reason for Delay,Number of Passengers,Customer Satisfaction Score
SH2319,30-05-2023,SFO,LAS,01-01-2023 19:57,,01-01-2023 21:35,,02-01-2023 00:38,,02-01-2023 00:42,,281,4,No,Weather,74,3
SH3922,18-10-2023,LAS,ORD,01-01-2023 03:18,,01-01-2023 05:16,,01-01-2023 08:15,,01-01-2023 08:34,,297,19,No,None,63,8
SH3662,31-01-2023,ORD,ATL,01-01-2023 06:11,,01-01-2023 06:44,,01-01-2023 07:56,,01-01-2023 09:38,,105,102,No,Air Traffic,211,4
SH4947,03-08-2024,SFO,DEN,01-01-2023 00:54,,01-01-2023 02:18,,01-01-2023 02:12,,01-01-2023 03:01,,78,49,No,Crew Unavailability,203,2
SH1477,08-05-2024,DEN,ATL,01-01-2023 20:04,,01-01-2023 20:09,,01-01-2023 22:24,,01-01-2023 23:15,,140,51,No,Air Traffic,210,6
SH7275,25-01-2024,SEA,MIA,01-01-2023 00:42,,01-01-2023 01:37,,01-01-2023 04:54,,01-01-2023 06:24,,252,90,No,Technical Issue,151,4
SH1961,09-07-2025,DFW,SFO,01-01-2023 11:39,,01-01-2023 12:18,,01-01-2023 16:21,,01-01-2023 18:04,,282,103,No,Weather,53,7
SH5149,18-09-2024,SFO,DEN,01-01-2023 18:19,,01-01-2023 18:41,,01-01-2023 23:22,,01-01-2023 23:43,,303,21,No,Weather,213,4
SH8543,02-09-2024,MIA,MIA,01-01-2023 22:59,,02-01-2023 00:57,,02-01-2023 02:03,,02-01-2023 02:49,,184,46,No,None,69,4
SH1599,08-07-2024,ORD,JFK,01-01-2023 12:58,,01-01-2023 14:22,,01-01-2023 13:59,,01-01-2023 15:48,,61,109,No,Crew Unavailability,296,9
SH1369,30-04-2025,ORD,SFO,01-01-2023 06:21,,01-01-2023 08:12,,01-01-2023 08:05,,01-01-2023 08:14,,104,9,No,None,279,2
SH6121,13-06-2023,ORD,DFW,01-01-2023 02:32,,01-01-2023 03:45,,01-01-2023 06:58,,01-01-2023 08:54,,266,116,No,Technical Issue,281,4
SH8884,04-03-2025,DEN,MIA,01-01-2023 00:30,,01-01-2023 02:27,,01-01-2023 02:03,,01-01-2023 03:34,,93,91,No,Weather,223,2
SH3555,20-09-2025,SEA,LAX,01-01-2023 12:28,,01-01-2023 13:15,,01-01-2023 16:24,,01-01-2023 17:59,,236,95,No,Crew Unavailability,159,3
SH4062,23-02-2023,SEA,ATL,01-01-2023 04:00,,01-01-2023 05:27,,01-01-2023 08:57,,01-01-2023 09:49,,297,52,No,None,94,7
SH9514,12-03-2025,DEN,DFW,01-01-2023 22:54,,01-01-2023 23:15,,02-01-2023 02:16,,02-01-2023 04:02,,202,106,No,Air Traffic,212,9
SH9729,04-09-2023,ORD,ORD,01-01-2023 20:04,,01-01-2023 21:21,,02-01-2023 00:39,,02-01-2023 02:30,,275,111,No,Air Traffic,152,1
SH9486,13-08-2023,JFK,DEN,01-01-2023 04:22,,01-01-2023 06:03,,01-01-2023 07:50,,01-01-2023 08:19,,208,29,No,Crew Unavailability,111,9
SH4277,31-12-2024,ORD,JFK,01-01-2023 03:09,,01-01-2023 03:58,,01-01-2023 07:51,,01-01-2023 09:18,,282,87,No,Air Traffic,265,4
SH2943,03-03-2025,LAS,LAS,01-01-2023 11:13,,01-01-2023 11:39,,01-01-2023 14:11,,01-01-2023 16:01,,178,110,No,Crew Unavailability,134,10
SH7427,16-10-2023,ORD,MIA,01-01-2023 17:54,,01-01-2023 17:55,,01-01-2023 21:01,,01-01-2023 23:01,,187,120,No,None,87,6
SH7831,02-06-2023,JFK,DFW,01-01-2023 12:18,,01-01-2023 13:01,,01-01-2023 15:44,,01-01-2023 17:18,,206,94,Yes,Weather,236,2
SH1441,15-10-2024,SFO,ORD,01-01-2023 17:44,,01-01-2023 18:37,,01-01-2023 20:22,,01-01-2023 22:17,,158,115,No,Air Traffic,158,3
SH0349,20-08-2025,ORD,ORD,01-01-2023 14:22,,01-01-2023 15:35,,01-01-2023 18:12,,01-01-2023 19:20,,230,68,No,None,122,7
SH4714,20-02-2023,MIA,DFW,01-01-2023 06:21,,01-01-2023 06:35,,01-01-2023 11:40,,01-01-2023 12:22,,319,42,No,Weather,240,5
SH7826,04-11-2023,DEN,JFK,01-01-2023 07:59,,01-01-2023 08:22,,01-01-2023 13:03,,01-01-2023 14:22,,304,79,Yes,None,80,9
SH9154,19-08-2023,JFK,DEN,01-01-2023 15:51,,01-01-2023 17:43,,01-01-2023 19:28,,01-01-2023 20:43,,217,75,No,Technical Issue,192,8
SH7673,02-03-2025,SFO,ATL,01-01-2023 15:53,,01-01-2023 17:53,,01-01-2023 19:07,,01-01-2023 20:32,,194,85,Yes,Air Traffic,226,4
SH0850,30-11-2024,ATL,MIA,01-01-2023 00:43,,01-01-2023 01:34,,01-01-2023 01:45,,01-01-2023 03:19,,62,94,No,None,58,5
SH1462,22-12-2023,ORD,LAS,01-01-2023 11:31,,01-01-2023 13:20,,01-01-2023 16:53,,01-01-2023 17:35,,322,42,No,Crew Unavailability,91,7
SH7520,16-03-2023,DEN,ATL,01-01-2023 22:51,,01-01-2023 23:29,,02-01-2023 02:11,,02-01-2023 03:53,,200,102,No,None,62,8
SH6943,09-01-2023,ORD,ORD,01-01-2023 05:17,,01-01-2023 06:04,,01-01-2023 09:06,,01-01-2023 11:04,,229,118,No,Weather,87,7
SH6133,20-11-2023,LAS,ORD,01-01-2023 04:05,,01-01-2023 05:15,,01-01-2023 08:19,,01-01-2023 09:58,,254,99,No,Weather,219,5
SH5070,31-08-2025,DEN,DFW,01-01-2023 13:45,,01-01-2023 14:02,,01-01-2023 19:32,,01-01-2023 21:05,,347,93,No,Weather,171,4
SH5860,25-01-2025,DFW,DFW,01-01-2023 10:10,,01-01-2023 10:31,,01-01-2023 12:40,,01-01-2023 13:17,,150,37,No,Weather,209,2
SH3945,05-01-2024,DEN,LAX,01-01-2023 18:30,,01-01-2023 19:40,,01-01-2023 20:44,,01-01-2023 20:58,,134,14,No,None,275,3
SH5370,21-10-2024,MIA,ORD,01-01-2023 06:10,,01-01-2023 07:42,,01-01-2023 10:33,,01-01-2023 11:42,,263,69,No,Weather,74,8
SH4393,19-12-2024,ATL,JFK,01-01-2023 16:31,,01-01-2023 18:00,,01-01-2023 20:44,,01-01-2023 21:45,,253,61,No,Technical Issue,175,1
SH3544,18-06-2025,LAX,DFW,01-01-2023 04:06,,01-01-2023 05:27,,01-01-2023 09:37,,01-01-2023 10:07,,331,30,Yes,Air Traffic,80,9
SH2401,05-06-2023,SFO,DFW,01-01-2023 14:23,,01-01-2023 15:08,,01-01-2023 15:23,,01-01-2023 15:42,,60,19,No,None,298,3
SH7324,10-03-2025,LAS,LAX,01-01-2023 15:44,,01-01-2023 16:26,,01-01-2023 18:32,,01-01-2023 19:56,,168,84,Yes,Technical Issue,230,7
SH2252,20-02-2025,LAS,MIA,01-01-2023 21:10,,01-01-2023 22:02,,02-01-2023 00:41,,02-01-2023 01:48,,211,67,No,Crew Unavailability,196,3
SH5433,22-04-2025,JFK,JFK,01-01-2023 07:45,,01-01-2023 08:26,,01-01-2023 09:26,,01-01-2023 09:42,,101,16,No,Air Traffic,232,5
SH3781,13-05-2023,LAS,SFO,01-01-2023 14:54,,01-01-2023 16:27,,01-01-2023 18:21,,01-01-2023 19:52,,207,91,No,Crew Unavailability,194,4
SH0145,06-07-2024,LAS,SFO,01-01-2023 00:56,,01-01-2023 01:35,,01-01-2023 04:11,,01-01-2023 04:45,,195,34,No,None,290,6
SH5705,05-11-2023,ATL,DFW,01-01-2023 17:47,,01-01-2023 18:22,,01-01-2023 20:11,,01-01-2023 20:48,,144,37,No,Crew Unavailability,268,7
SH3846,08-07-2025,SFO,DEN,01-01-2023 09:02,,01-01-2023 10:55,,01-01-2023 13:17,,01-01-2023 13:18,,255,1,No,None,184,7
SH8381,19-09-2023,SFO,SEA,01-01-2023 13:32,,01-01-2023 15:21,,01-01-2023 14:46,,01-01-2023 15:07,,74,21,No,Air Traffic,142,4
SH8352,08-06-2023,LAS,ATL,01-01-2023 07:40,,01-01-2023 08:25,,01-01-2023 12:26,,01-01-2023 12:37,,286,11,No,Crew Unavailability,86,10
SH4122,20-05-2024,LAX,DEN,01-01-2023 02:07,,01-01-2023 02:43,,01-01-2023 04:34,,01-01-2023 05:00,,147,26,No,None,288,4
SH5675,29-10-2023,LAS,SEA,01-01-2023 17:03,,01-01-2023 18:47,,01-01-2023 19:30,,01-01-2023 21:07,,147,97,No,Weather,299,10
SH6219,29-12-2024,LAS,LAX,01-01-2023 15:52,,01-01-2023 16:22,,01-01-2023 18:54,,01-01-2023 20:51,,182,117,No,Crew Unavailability,199,5
SH2090,20-04-2024,LAS,ORD,01-01-2023 21:32,,01-01-2023 23:02,,02-01-2023 01:30,,02-01-2023 02:23,,238,53,No,Air Traffic,196,4
SH4997,12-07-2023,MIA,LAX,01-01-2023 07:54,,01-01-2023 08:53,,01-01-2023 12:32,,01-01-2023 14:07,,278,95,No,Crew Unavailability,192,6
SH3245,31-08-2025,LAS,ORD,01-01-2023 13:57,,01-01-2023 14:50,,01-01-2023 15:28,,01-01-2023 15:33,,91,5,Yes,None,75,5
SH5834,17-07-2023,DEN,ORD,01-01-2023 03:45,,01-01-2023 04:57,,01-01-2023 05:56,,01-01-2023 06:26,,131,30,No,Technical Issue,285,3
SH6754,13-11-2023,LAX,MIA,01-01-2023 09:07,,01-01-2023 10:29,,01-01-2023 12:55,,01-01-2023 13:09,,228,14,No,Crew Unavailability,252,6
SH3617,18-10-2023,JFK,LAX,01-01-2023 01:52,,01-01-2023 02:43,,01-01-2023 04:59,,01-01-2023 05:25,,187,26,No,Air Traffic,201,6
SH4803,10-03-2023,SFO,DEN,01-01-2023 09:22,,01-01-2023 10:35,,01-01-2023 13:08,,01-01-2023 14:06,,226,58,Yes,Air Traffic,130,9
SH9894,16-08-2024,ORD,DEN,01-01-2023 12:50,,01-01-2023 14:47,,01-01-2023 18:38,,01-01-2023 19:02,,348,24,No,Crew Unavailability,139,10
SH4863,13-12-2023,ATL,SEA,01-01-2023 04:20,,01-01-2023 06:12,,01-01-2023 07:20,,01-01-2023 08:34,,180,74,No,Crew Unavailability,283,6
SH9792,01-03-2025,DFW,DFW,01-01-2023 01:59,,01-01-2023 02:58,,01-01-2023 06:52,,01-01-2023 07:03,,293,11,No,Air Traffic,71,9
SH2248,04-09-2023,ATL,SEA,01-01-2023 10:51,,01-01-2023 12:24,,01-01-2023 14:22,,01-01-2023 16:14,,211,112,No,None,201,8
SH5260,07-12-2023,DFW,LAS,01-01-2023 11:43,,01-01-2023 13:10,,01-01-2023 16:24,,01-01-2023 17:52,,281,88,No,Crew Unavailability,90,3
SH6111,04-01-2023,DFW,ORD,01-01-2023 17:57,,01-01-2023 19:19,,01-01-2023 22:42,,01-01-2023 23:59,,285,77,No,Technical Issue,119,7
SH0620,16-04-2024,SFO,SFO,01-01-2023 06:57,,01-01-2023 08:34,,01-01-2023 08:23,,01-01-2023 09:05,,86,42,No,Weather,220,8
SH1084,07-10-2023,SEA,SFO,01-01-2023 23:53,,02-01-2023 01:01,,02-01-2023 01:34,,02-01-2023 02:03,,101,29,No,None,90,8
SH9478,11-05-2023,ORD,ATL,01-01-2023 21:59,,01-01-2023 22:33,,02-01-2023 01:19,,02-01-2023 03:10,,200,111,No,Crew Unavailability,71,5
SH0115,02-02-2024,MIA,ATL,01-01-2023 11:02,,01-01-2023 12:54,,01-01-2023 13:09,,01-01-2023 14:43,,127,94,No,Air Traffic,296,7
SH3760,01-07-2023,DEN,SEA,01-01-2023 19:03,,01-01-2023 19:41,,01-01-2023 23:58,,02-01-2023 01:30,,295,92,No,Air Traffic,98,1
SH9859,18-06-2023,DFW,LAS,01-01-2023 04:57,,01-01-2023 05:34,,01-01-2023 06:00,,01-01-2023 07:51,,63,111,No,None,212,6
SH9945,05-06-2025,ORD,JFK,01-01-2023 13:55,,01-01-2023 15:01,,01-01-2023 18:57,,01-01-2023 19:02,,302,5,No,None,72,7
SH4594,21-02-2023,SFO,MIA,01-01-2023 23:59,,02-01-2023 01:02,,02-01-2023 02:20,,02-01-2023 03:33,,141,73,No,Weather,157,10
SH2183,25-09-2025,ATL,LAS,01-01-2023 12:19,,01-01-2023 12:53,,01-01-2023 13:24,,01-01-2023 14:34,,65,70,No,Crew Unavailability,257,2
SH0515,29-07-2025,LAS,LAS,01-01-2023 12:29,,01-01-2023 13:44,,01-01-2023 18:21,,01-01-2023 19:08,,352,47,No,Technical Issue,188,10
SH1737,19-02-2025,JFK,DEN,01-01-2023 06:53,,01-01-2023 08:23,,01-01-2023 08:52,,01-01-2023 09:23,,119,31,No,Weather,287,5
SH8194,16-11-2023,ATL,SFO,01-01-2023 09:25,,01-01-2023 11:14,,01-01-2023 11:54,,01-01-2023 12:34,,149,40,No,Weather,74,10
SH2722,13-11-2024,ATL,ATL,01-01-2023 03:43,,01-01-2023 04:19,,01-01-2023 06:37,,01-01-2023 06:47,,174,10,No,Air Traffic,120,3
SH9861,20-03-2024,MIA,MIA,01-01-2023 22:39,,02-01-2023 00:36,,02-01-2023 03:17,,02-01-2023 03:47,,278,30,No,Weather,280,2
SH4329,17-01-2023,ORD,MIA,01-01-2023 15:57,,01-01-2023 16:54,,01-01-2023 18:18,,01-01-2023 20:06,,141,108,Yes,Air Traffic,67,7
SH3026,18-01-2024,ORD,ATL,01-01-2023 11:37,,01-01-2023 12:34,,01-01-2023 14:50,,01-01-2023 16:34,,193,104,No,Technical Issue,266,1
SH6848,23-03-2024,ATL,LAS,01-01-2023 21:58,,01-01-2023 23:24,,02-01-2023 00:16,,02-01-2023 01:50,,138,94,No,Weather,107,7
SH4776,11-02-2024,ATL,ORD,01-01-2023 03:14,,01-01-2023 03:27,,01-01-2023 08:57,,01-01-2023 09:22,,343,25,No,Air Traffic,205,4
SH2017,06-01-2025,DFW,DEN,01-01-2023 18:59,,01-01-2023 20:32,,01-01-2023 21:53,,01-01-2023 23:34,,174,101,No,Weather,211,7
SH9515,06-04-2025,SEA,JFK,01-01-2023 15:43,,01-01-2023 16:08,,01-01-2023 17:54,,01-01-2023 19:29,,131,95,No,None,201,7
SH8084,11-12-2023,ATL,LAX,01-01-2023 17:25,,01-01-2023 19:24,,01-01-2023 18:39,,01-01-2023 18:44,,74,5,No,Weather,288,6
SH5387,06-07-2024,ATL,LAS,01-01-2023 21:53,,01-01-2023 23:23,,01-01-2023 23:09,,02-01-2023 00:23,,76,74,No,Crew Unavailability,204,10
SH4554,05-02-2023,LAS,MIA,01-01-2023 16:08,,01-01-2023 17:23,,01-01-2023 17:34,,01-01-2023 18:05,,86,31,No,Technical Issue,66,5
SH1909,07-08-2024,SEA,LAS,01-01-2023 09:09,,01-01-2023 10:45,,01-01-2023 14:56,,01-01-2023 16:14,,347,78,No,None,131,9
SH0281,14-04-2023,LAX,LAS,01-01-2023 20:29,,01-01-2023 21:23,,01-01-2023 22:03,,01-01-2023 23:12,,94,69,No,Weather,67,7
SH8439,08-09-2025,SEA,ATL,01-01-2023 11:33,,01-01-2023 12:35,,01-01-2023 17:19,,01-01-2023 19:06,,346,107,No,Technical Issue,113,8
SH4838,09-03-2024,ORD,DFW,01-01-2023 07:17,,01-01-2023 08:25,,01-01-2023 12:07,,01-01-2023 14:05,,290,118,No,Weather,147,8
SH7902,28-06-2023,MIA,ORD,01-01-2023 19:54,,01-01-2023 21:54,,01-01-2023 22:25,,01-01-2023 22:27,,151,2,No,Technical Issue,106,1
SH3467,23-05-2024,DFW,ORD,01-01-2023 13:09,,01-01-2023 14:47,,01-01-2023 18:27,,01-01-2023 19:16,,318,49,No,Air Traffic,76,10
SH4880,23-12-2024,SFO,JFK,01-01-2023 02:01,,01-01-2023 03:04,,01-01-2023 04:08,,01-01-2023 05:46,,127,98,No,Technical Issue,276,9
SH7300,11-08-2023,ATL,LAX,01-01-2023 17:01,,01-01-2023 17:50,,01-01-2023 18:39,,01-01-2023 19:17,,98,38,No,None,137,4
SH6964,06-11-2024,DFW,DEN,01-01-2023 23:47,,02-01-2023 01:42,,02-01-2023 03:34,,02-01-2023 04:25,,227,51,No,Technical Issue,300,1
SH0824,21-03-2025,SEA,DFW,01-01-2023 17:49,,01-01-2023 18:48,,01-01-2023 21:45,,01-01-2023 21:51,,236,6,No,Technical Issue,65,5
SH5275,13-05-2023,LAS,ATL,01-01-2023 07:15,,01-01-2023 07:32,,01-01-2023 11:10,,01-01-2023 11:51,,235,41,No,Crew Unavailability,239,10
SH9439,26-04-2023,ORD,SFO,01-01-2023 10:06,,01-01-2023 11:38,,01-01-2023 12:29,,01-01-2023 13:44,,143,75,No,Weather,77,1
SH5536,10-04-2023,ORD,MIA,01-01-2023 09:39,,01-01-2023 11:38,,01-01-2023 12:55,,01-01-2023 13:40,,196,45,No,Technical Issue,170,6
SH1375,06-01-2025,DEN,LAX,01-01-2023 01:23,,01-01-2023 01:54,,01-01-2023 03:08,,01-01-2023 03:38,,105,30,No,None,88,5
SH6067,11-04-2023,DFW,LAS,01-01-2023 01:48,,01-01-2023 01:56,,01-01-2023 02:49,,01-01-2023 03:02,,61,13,No,Crew Unavailability,170,1
SH1478,16-04-2024,LAX,LAS,01-01-2023 20:16,,01-01-2023 21:04,,01-01-2023 22:47,,02-01-2023 00:45,,151,118,No,Air Traffic,118,6
SH5415,04-08-2023,ORD,ATL,01-01-2023 19:43,,01-01-2023 20:27,,01-01-2023 22:38,,01-01-2023 23:16,,175,38,No,None,229,5
SH3526,27-03-2023,LAS,SFO,01-01-2023 18:16,,01-01-2023 18:38,,01-01-2023 21:54,,01-01-2023 23:12,,218,78,No,Crew Unavailability,125,4
SH6775,23-06-2024,LAS,DFW,01-01-2023 13:57,,01-01-2023 15:01,,01-01-2023 16:55,,01-01-2023 17:02,,178,7,No,Air Traffic,217,4
SH4364,01-05-2023,DEN,MIA,01-01-2023 11:57,,01-01-2023 13:03,,01-01-2023 13:49,,01-01-2023 15:11,,112,82,No,None,104,9
SH0820,25-06-2025,ATL,ATL,01-01-2023 00:45,,01-01-2023 01:40,,01-01-2023 05:54,,01-01-2023 06:10,,309,16,No,None,218,4
SH2847,23-09-2023,JFK,DEN,01-01-2023 17:12,,01-01-2023 18:11,,01-01-2023 22:52,,01-01-2023 23:27,,340,35,No,None,53,3
SH7667,18-10-2023,LAX,DEN,01-01-2023 23:56,,02-01-2023 01:53,,02-01-2023 02:29,,02-01-2023 03:51,,153,82,No,Technical Issue,209,2
SH1603,25-04-2024,DFW,SEA,01-01-2023 05:24,,01-01-2023 07:11,,01-01-2023 09:49,,01-01-2023 11:33,,265,104,No,Weather,164,4
SH8283,24-03-2024,DEN,LAS,01-01-2023 03:57,,01-01-2023 05:02,,01-01-2023 07:05,,01-01-2023 08:48,,188,103,No,None,143,1
SH9883,10-01-2025,MIA,ATL,01-01-2023 01:19,,01-01-2023 01:43,,01-01-2023 04:57,,01-01-2023 05:16,,218,19,No,None,139,10
SH9376,05-09-2024,LAS,LAX,01-01-2023 14:42,,01-01-2023 16:32,,01-01-2023 18:09,,01-01-2023 18:55,,207,46,No,Air Traffic,206,9
SH2537,26-03-2025,LAX,DEN,01-01-2023 13:53,,01-01-2023 15:36,,01-01-2023 18:19,,01-01-2023 18:27,,266,8,No,Weather,76,5
SH0167,11-11-2024,LAX,ORD,01-01-2023 01:45,,01-01-2023 01:55,,01-01-2023 05:09,,01-01-2023 06:56,,204,107,No,Weather,95,5
SH9793,06-04-2023,MIA,DEN,01-01-2023 14:33,,01-01-2023 16:10,,01-01-2023 19:23,,01-01-2023 19:28,,290,5,No,Crew Unavailability,100,9
SH8449,03-08-2025,JFK,JFK,01-01-2023 04:12,,01-01-2023 04:36,,01-01-2023 09:23,,01-01-2023 11:07,,311,104,No,Crew Unavailability,219,2
SH3246,24-05-2023,ATL,LAX,01-01-2023 16:47,,01-01-2023 18:30,,01-01-2023 18:13,,01-01-2023 19:48,,86,95,No,Crew Unavailability,77,6
SH6908,04-06-2025,SFO,SEA,01-01-2023 14:19,,01-01-2023 14:58,,01-01-2023 20:03,,01-01-2023 20:21,,344,18,No,Weather,176,8
SH3798,05-10-2023,DFW,DFW,01-01-2023 19:06,,01-01-2023 20:24,,02-01-2023 00:01,,02-01-2023 00:12,,295,11,No,Technical Issue,187,1
SH5502,10-11-2024,JFK,JFK,01-01-2023 19:47,,01-01-2023 20:26,,01-01-2023 23:51,,02-01-2023 00:59,,244,68,No,Technical Issue,232,2
SH9167,12-12-2023,ATL,MIA,01-01-2023 04:22,,01-01-2023 05:53,,01-01-2023 07:32,,01-01-2023 08:43,,190,71,Yes,Air Traffic,91,5
SH6694,21-02-2023,JFK,ORD,01-01-2023 20:05,,01-01-2023 20:26,,01-01-2023 21:26,,01-01-2023 21:33,,81,7,No,Air Traffic,113,7
SH5444,17-10-2024,LAX,SEA,01-01-2023 16:09,,01-01-2023 16:37,,01-01-2023 18:20,,01-01-2023 19:04,,131,44,No,None,298,4
SH2249,10-09-2025,MIA,DEN,01-01-2023 16:07,,01-01-2023 16:50,,01-01-2023 21:56,,01-01-2023 22:46,,349,50,No,None,238,9
SH7776,14-05-2024,SFO,LAX,01-01-2023 15:28,,01-01-2023 15:49,,01-01-2023 20:37,,01-01-2023 22:28,,309,111,No,Crew Unavailability,233,9
SH2857,05-07-2025,MIA,SFO,01-01-2023 16:36,,01-01-2023 17:36,,01-01-2023 19:24,,01-01-2023 20:53,,168,89,No,Technical Issue,135,3
SH4061,02-02-2023,JFK,MIA,01-01-2023 10:42,,01-01-2023 11:29,,01-01-2023 15:45,,01-01-2023 17:00,,303,75,No,Crew Unavailability,138,1
SH2400,10-12-2023,LAX,DFW,01-01-2023 01:28,,01-01-2023 03:11,,01-01-2023 05:27,,01-01-2023 06:02,,239,35,No,Weather,133,5
SH9203,05-09-2024,MIA,ATL,01-01-2023 23:46,,02-01-2023 00:21,,02-01-2023 03:00,,02-01-2023 04:03,,194,63,No,Weather,201,1
SH9110,05-04-2023,SEA,SFO,01-01-2023 15:07,,01-01-2023 15:41,,01-01-2023 20:30,,01-01-2023 20:34,,323,4,No,None,280,2
SH5335,26-10-2023,JFK,LAX,01-01-2023 14:32,,01-01-2023 15:19,,01-01-2023 18:08,,01-01-2023 19:18,,216,70,No,None,176,8
SH0916,01-02-2023,SEA,DFW,01-01-2023 20:19,,01-01-2023 21:59,,01-01-2023 23:47,,02-01-2023 00:15,,208,28,No,Air Traffic,190,9
SH2818,22-10-2024,ATL,MIA,01-01-2023 12:21,,01-01-2023 13:46,,01-01-2023 16:53,,01-01-2023 17:32,,272,39,No,None,267,3
SH8553,16-11-2023,DEN,MIA,01-01-2023 10:04,,01-01-2023 10:11,,01-01-2023 13:48,,01-01-2023 14:55,,224,67,No,None,153,5
SH3919,25-04-2023,MIA,SFO,01-01-2023 05:34,,01-01-2023 06:53,,01-01-2023 10:59,,01-01-2023 12:27,,325,88,No,Air Traffic,279,6
SH2864,03-06-2023,ORD,SEA,01-01-2023 02:59,,01-01-2023 04:53,,01-01-2023 04:55,,01-01-2023 05:25,,116,30,No,Air Traffic,140,3
SH6447,31-12-2023,ATL,DEN,01-01-2023 08:45,,01-01-2023 09:47,,01-01-2023 13:35,,01-01-2023 13:44,,290,9,No,None,236,3
SH3880,18-04-2023,SFO,DEN,01-01-2023 23:48,,02-01-2023 01:38,,02-01-2023 05:19,,02-01-2023 06:10,,331,51,No,Technical Issue,78,1
SH9702,04-10-2023,MIA,ATL,01-01-2023 12:06,,01-01-2023 13:00,,01-01-2023 13:13,,01-01-2023 14:03,,67,50,No,Air Traffic,242,9
SH1642,21-10-2023,LAX,JFK,01-01-2023 12:53,,01-01-2023 13:40,,01-01-2023 17:55,,01-01-2023 19:13,,302,78,No,None,178,5
SH4764,27-11-2024,DFW,MIA,01-01-2023 02:04,,01-01-2023 02:59,,01-01-2023 05:12,,01-01-2023 06:03,,188,51,No,None,272,7
SH1187,09-08-2023,DEN,LAS,01-01-2023 05:21,,01-01-2023 06:42,,01-01-2023 07:49,,01-01-2023 08:31,,148,42,No,Weather,203,6
SH1303,20-07-2024,DFW,DEN,01-01-2023 10:33,,01-01-2023 11:11,,01-01-2023 13:21,,01-01-2023 14:58,,168,97,No,Weather,111,10
SH7859,12-03-2025,DFW,SFO,01-01-2023 03:05,,01-01-2023 05:04,,01-01-2023 04:39,,01-01-2023 04:43,,94,4,No,None,162,4
SH2018,20-05-2023,SEA,DFW,01-01-2023 01:13,,01-01-2023 02:09,,01-01-2023 04:40,,01-01-2023 06:40,,207,120,No,Air Traffic,205,6
SH5399,06-09-2025,DEN,DEN,01-01-2023 19:17,,01-01-2023 20:25,,01-01-2023 21:09,,01-01-2023 21:46,,112,37,No,Air Traffic,138,2
SH1009,02-11-2024,DEN,JFK,01-01-2023 04:51,,01-01-2023 05:46,,01-01-2023 10:33,,01-01-2023 10:59,,342,26,No,Weather,170,8
SH0759,15-06-2025,SEA,ATL,01-01-2023 22:30,,01-01-2023 23:58,,02-01-2023 03:41,,02-01-2023 04:43,,311,62,No,Crew Unavailability,189,5
SH2127,22-09-2025,SEA,SEA,01-01-2023 03:36,,01-01-2023 05:12,,01-01-2023 05:19,,01-01-2023 07:10,,103,111,No,Crew Unavailability,93,2
SH2641,11-04-2024,ATL,LAS,01-01-2023 18:58,,01-01-2023 19:55,,01-01-2023 22:34,,01-01-2023 23:06,,216,32,No,None,225,5
SH1956,22-07-2025,MIA,LAS,01-01-2023 21:45,,01-01-2023 21:53,,01-01-2023 23:32,,02-01-2023 01:16,,107,104,No,Weather,130,1
SH8787,20-08-2025,MIA,SFO,01-01-2023 21:39,,01-01-2023 22:11,,02-01-2023 02:26,,02-01-2023 03:29,,287,63,No,Air Traffic,258,3
SH5086,13-02-2025,SEA,LAS,01-01-2023 03:35,,01-01-2023 05:13,,01-01-2023 06:24,,01-01-2023 07:05,,169,41,No,Weather,145,6
SH6107,08-02-2023,SEA,DFW,01-01-2023 19:03,,01-01-2023 20:53,,01-01-2023 20:24,,01-01-2023 22:14,,81,110,No,Crew Unavailability,61,7
SH0027,10-12-2023,MIA,ATL,01-01-2023 17:20,,01-01-2023 17:32,,01-01-2023 20:24,,01-01-2023 22:02,,184,98,No,None,169,4
SH3731,22-07-2024,LAS,SFO,01-01-2023 21:59,,01-01-2023 23:18,,02-01-2023 01:19,,02-01-2023 02:07,,200,48,No,Weather,293,8
SH2184,10-06-2025,SEA,ORD,01-01-2023 07:42,,01-01-2023 07:45,,01-01-2023 12:03,,01-01-2023 13:00,,261,57,No,Air Traffic,277,6
SH5167,22-05-2023,SFO,ORD,01-01-2023 07:51,,01-01-2023 08:44,,01-01-2023 10:14,,01-01-2023 11:15,,143,61,No,Weather,219,4
SH2665,28-06-2024,JFK,SFO,01-01-2023 04:23,,01-01-2023 06:14,,01-01-2023 06:14,,01-01-2023 08:10,,111,116,No,Air Traffic,292,9
SH0054,31-01-2025,DFW,ORD,01-01-2023 12:11,,01-01-2023 13:36,,01-01-2023 14:35,,01-01-2023 15:01,,144,26,No,Crew Unavailability,62,10
SH5570,08-06-2023,ORD,LAX,01-01-2023 07:10,,01-01-2023 08:22,,01-01-2023 12:14,,01-01-2023 13:30,,304,76,No,Air Traffic,114,1
SH4525,04-03-2023,JFK,SEA,01-01-2023 09:03,,01-01-2023 09:14,,01-01-2023 12:36,,01-01-2023 13:54,,213,78,No,Technical Issue,118,6
SH1108,25-10-2023,SFO,DFW,01-01-2023 09:58,,01-01-2023 11:36,,01-01-2023 13:20,,01-01-2023 14:10,,202,50,No,Technical Issue,257,7
